tare_purpose,logical_name,name_2022_1_1,name_2025_1,unit_2025_1,dtype_2025_1,status,note
Row identity,building_id,bldg_id,bldg_id,,int64,confirmed,"Index column in every TARE load. Was string in the 2022 CSV read, is int64 in the 2025.1 parquet."
Row identity,upgrade_id,upgrade,upgrade,,int64,confirmed,int64 in 2025.1; carries the upgrade number (5 for dual fuel).
Row identity,dwelling_unit_weight,weight,weight,,double,confirmed,One distinct value per release. Measured 253.90367272727272 in 2025.1 against 242.131013 in 2022.1.1.
Row identity,sample_weight_raw,,,,,missing,"MISSING: the guide expected an in.sample_weight column in the raw inputs. It is in neither release's published file. Fall back to the top-level weight column, which the guide already names as the one to use."
Scope filter,upgrade_applicable,applicability,applicability,,bool,confirmed,"Real bool in the 2025.1 parquet, so no string coercion is needed here. TARE's run path never filters on it today (only the KPI loader does)."
Scope filter,vacancy_status,in.vacancy_status,in.vacancy_status,,large_string,confirmed,"Occupied filter. 2025.1 baseline: 483,334 Occupied of 549,971 rdu."
Scope filter,building_type,in.geometry_building_type_recs,in.geometry_building_type_recs,,large_string,confirmed,Single-family filter via ALLOWED_HOUSING_TYPES.
Geography,state,in.state,in.state,,large_string,confirmed,"Two-letter key required by the fuel-price lookup. 51 values in 2025.1 (50 states plus DC). AK and HI are excluded from the study by the researcher's 19 Sep 2026 decision, leaving the same 49 state keys as 2022.1.1."
Geography,county,in.county,in.county,,large_string,confirmed,"GISJOIN for 3,107 counties in 49 states, but a name string such as 'HI, Honolulu County' for all AK and HI rows (32 distinct, 3,418 rdu), on which TARE's FIPS parse at process_euss_data.py:218 fails. With AK and HI excluded, every remaining value is GISJOIN and the baseline has exactly 3,107 distinct counties, the same count as 2022.1.1, so the parse needs no change. Connecticut is GISJOIN and still the eight pre-2023 counties G0900010 to G0900150."
Geography,county_name,,in.county_name,,large_string,new,NEW in 2025.1; there is no in.county_name in 2022.1.1. A readable cross-check for the AK and HI county codes.
Geography,county_and_puma,in.county_and_puma,in.county_and_puma,,large_string,confirmed,"GISJOIN on every row including AK and HI, so it is the reliable county key where in.county is a name string."
Geography,puma,in.puma,in.puma,,large_string,confirmed,Carried through unchanged.
Geography,census_region,in.census_region,in.census_region,,large_string,confirmed,Pass-through metadata column.
Geography,census_division,in.census_division,in.census_division,,large_string,confirmed,"Region key for fuel-oil and propane prices and for both degree-day factor tables. AK and HI both read 'Pacific', which those tables cover."
Geography,census_division_recs,in.census_division_recs,in.census_division_recs,,large_string,confirmed,Pass-through metadata column.
Geography,city,in.city,in.city,,large_string,confirmed,"Parsed by extract_city_name with the regex '^[A-Z]{2}, (.+)$'."
Geography,metro_status,in.puma_metro_status,in.puma_metro_status,,large_string,confirmed,Mapped to urbanicity. 2025.1 also adds in.county_metro_status.
Geography,climate_zone_iecc,in.ashrae_iecc_climate_zone_2004,in.ashrae_iecc_climate_zone_2004,,large_string,confirmed,"Read today only by the KPI loader. Under upgrade 05 it splits the AFUE tier cleanly: zones 1A-4C are all 92.5 percent, 5A-8AK all 95.0."
Geography,climate_zone_ba,in.building_america_climate_zone,in.building_america_climate_zone,,large_string,confirmed,Pass-through metadata column.
Geography,reeds_balancing_area,in.reeds_balancing_area,in.reeds_balancing_area,,large_string,confirmed,Pass-through metadata column.
Geography,emissions_region,in.generation_and_emissions_assessment_region,in.generation_and_emissions_assessment_region,,large_string,confirmed,"Present in both, but TARE deliberately ignores it and derives gea_region from its own county FIPS crosswalk instead."
Geography,weather_city,in.weather_file_city,in.weather_file_city,,large_string,confirmed,Pass-through metadata column.
Geography,longitude,in.weather_file_longitude,in.weather_file_longitude,,double,confirmed,Pass-through metadata column.
Geography,latitude,in.weather_file_latitude,in.weather_file_latitude,,double,confirmed,Pass-through metadata column.
Household,floor_area_sqft,in.sqft,in.sqft..ft2,ft2,double,renamed,Renamed with the new trailing unit suffix.
Household,income,in.income,in.income,,large_string,confirmed,Feeds the rebate income tier.
Household,federal_poverty_level,in.federal_poverty_level,in.federal_poverty_level,,large_string,confirmed,Pass-through metadata column.
Household,occupants,in.occupants,in.occupants,,large_string,confirmed,Pass-through metadata column.
Household,tenure,in.tenure,in.tenure,,large_string,confirmed,Pass-through metadata column.
Household,vintage,in.vintage,in.vintage,,large_string,confirmed,Pass-through metadata column.
Household,area_median_income_resstock,,in.area_median_income,,large_string,new,"NEW in 2025.1. TARE keeps its own county AMI join from ACS B19013, so this is a cross-check only."
